"GEO","SEX","AGE","TIME","VALUE","FLAGS","FOOTNOTES"
"BE","T","TOTAL","2011","11000638","",""
"BE1","T","TOTAL","2011","1136778","",""
"BE10","T","TOTAL","2011","1136778","",""
"BE100","T","TOTAL","2011","1136778","",""
"BE100_21001","T","TOTAL","2011","108940","",""
"BE100_21002","T","TOTAL","2011","31457","",""
"BE100_21003","T","TOTAL","2011","22819","",""
"BE100_21004","T","TOTAL","2011","174383","",""
"BE100_21005","T","TOTAL","2011","45430","",""
"BE100_21006","T","TOTAL","2011","36672","",""
"BE100_21007","T","TOTAL","2011","52028","",""
"BE100_21008","T","TOTAL","2011","23130","",""
"BE100_21009","T","TOTAL","2011","82854","",""
"BE100_21010","T","TOTAL","2011","48117","",""
"BE100_21011","T","TOTAL","2011","20335","",""
"BE100_21012","T","TOTAL","2011","92661","",""
"BE100_21013","T","TOTAL","2011","48829","",""
"BE100_21014","T","TOTAL","2011","27820","",""
"BE100_21015","T","TOTAL","2011","127525","",""
"BE100_21016","T","TOTAL","2011","78406","",""
"BE100_21017","T","TOTAL","2011","24277","",""
"BE100_21018","T","TOTAL","2011","51581","",""
"BE100_21019","T","TOTAL","2011","39514","",""
"BE2","T","TOTAL","2011","6325740","",""
"BE21","T","TOTAL","2011","1773267","",""
"BE211","T","TOTAL","2011","1005002","",""
"BE211_11001","T","TOTAL","2011","14335","",""
"BE211_11002","T","TOTAL","2011","498473","",""
"BE211_11004","T","TOTAL","2011","12764","",""
"BE211_11005","T","TOTAL","2011","17042","",""
"BE211_11007","T","TOTAL","2011","10235","",""
"BE211_11008","T","TOTAL","2011","37256","",""
"BE211_11009","T","TOTAL","2011","27849","",""
"BE211_11013","T","TOTAL","2011","21178","",""
"BE211_11016","T","TOTAL","2011","17963","",""
"BE211_11018","T","TOTAL","2011","10346","",""
"BE211_11021","T","TOTAL","2011","8198","",""
"BE211_11022","T","TOTAL","2011","17960","",""
"BE211_11023","T","TOTAL","2011","26930","",""
"BE211_11024","T","TOTAL","2011","20631","",""
"BE211_11025","T","TOTAL","2011","8672","",""
"BE211_11029","T","TOTAL","2011","24897","",""
"BE211_11030","T","TOTAL","2011","9408","",""
"BE211_11035","T","TOTAL","2011","18805","",""
"BE211_11037","T","TOTAL","2011","14780","",""
"BE211_11038","T","TOTAL","2011","8098","",""
"BE211_11039","T","TOTAL","2011","19441","",""
"BE211_11040","T","TOTAL","2011","33615","",""
"BE211_11044","T","TOTAL","2011","17963","",""
"BE211_11050","T","TOTAL","2011","9055","",""
"BE211_11052","T","TOTAL","2011","12405","",""
"BE211_11053","T","TOTAL","2011","19385","",""
"BE211_11054","T","TOTAL","2011","12541","",""
"BE211_11055","T","TOTAL","2011","21455","",""
"BE211_11056","T","TOTAL","2011","18677","",""
"BE211_11057","T","TOTAL","2011","14645","",""
"BE212","T","TOTAL","2011","327928","",""
"BE212_12002","T","TOTAL","2011","10900","",""
"BE212_12005","T","TOTAL","2011","14686","",""
"BE212_12007","T","TOTAL","2011","20739","",""
"BE212_12009","T","TOTAL","2011","16779","",""
"BE212_12014","T","TOTAL","2011","40281","",""
"BE212_12021","T","TOTAL","2011","34200","",""
"BE212_12025","T","TOTAL","2011","82205","",""
"BE212_12026","T","TOTAL","2011","21833","",""
"BE212_12029","T","TOTAL","2011","16592","",""
"BE212_12030","T","TOTAL","2011","16633","",""
"BE212_12034","T","TOTAL","2011","8149","",""
"BE212_12035","T","TOTAL","2011","20362","",""
"BE212_12040","T","TOTAL","2011","24569","",""
"BE213","T","TOTAL","2011","440337","",""
"BE213_13001","T","TOTAL","2011","13227","",""
"BE213_13002","T","TOTAL","2011","2603","",""
"BE213_13003","T","TOTAL","2011","21339","",""
"BE213_13004","T","TOTAL","2011","17056","",""
"BE213_13006","T","TOTAL","2011","9185","",""
"BE213_13008","T","TOTAL","2011","37529","",""
"BE213_13010","T","TOTAL","2011","11056","",""
"BE213_13011","T","TOTAL","2011","27179","",""
"BE213_13012","T","TOTAL","2011","8741","",""
"BE213_13013","T","TOTAL","2011","14400","",""
